Solution,Application Description Text,Availability Target,Graph Algorithms,Graph Features (top 6),ROI Dashboard Metrics,ML Models,Sample CoPilot Questions
Financial Crime Solutions,,,,,,,
Transaction Fraud,"Credit card transaction fraud detection identifies and prevents unauthorized or deceptive transactions in real-time. It analyzes transaction data, including cardholder information, transaction details, and historical patterns, to detect anomalies and suspicious activity indicative of fraud. TigerGraph models complex relationships and patterns among entities such as cardholders, merchants, transactions, and geographic locations. This enable detection of fraudulent networks and patterns that may be difficult to uncover using traditional relational databases. Using graph algorithms enable organizations to detect and respond to fraudulent transactions quickly and efficiently, ultimately reducing financial losses and protecting consumers from fraudulent activity.",Q1 - Currently available,"Weighted Weakly Connected Communities
Shortest Path Length (Closeness)
PageRank (Centrality)","Weighted WCC
PageRank
Shortest Path Length
Community Size
MerCat Avg Off
Community Total Amount
Max Txn Cnt within interval
Repeated Card Cnt","More Fraud Transactions Blocked
More Legit Transactions Allowed
$ Value More Fraud Transactions Blocked
$ Value More Legit Transactions Allowed
% Increase Recall with Graph Features
% Increase Precision with Graph Features",XGBoost,Link to Transaction Fraud Question
Application Fraud,"Credit Card Application fraud detection identifies and prevents unauthorized or deceptive financial applications in real-time.  PII attribute link analysis between Applications detect anomalies and suspicious activity indicative of fraud. TigerGraph models complex relationships and patterns among entities such as shared Name, DOB, Email, Phone, Address, IP, ID, Device, Party, Account, and Card. This enables detection of fraudulent networks and patterns that may be difficult to uncover using traditional relational databases. Using graph algorithms enable organizations to detect and respond to fraudulent transactions quickly and efficiently, ultimately reducing financial losses and protecting consumers from fraudulent activity.",Q2 - Currently available,"Attribute-based Similarity (Exact Matching)
MinHash-based Similarity (Fuzzy Matching)
Weighted WCC (Full Graph)
Weighted WCC (Approximate)","Degree of connection to closest fraud app
Path of connection to closest fraud app
CC app node count
Distinct count of each PII in CC
Count of nodes connected via each PII
Count of nodes only connected via each PII","More Fraud Applications Blocked
More Legit Application Allowed
$ Value More Fraud Applications Blocked
$ Value More Legit Applications Allowed
% Increase Recall with Graph Features
% Increase Precision with Graph Features",XGBoost,https://dmccrearytg.github.io/copilot-metadata/questions/credit-card-application-fraud/
Know Your Customer,"Know Your Customer (KYC) verifies the identity of customers and assess potemtial risk of financial crime. Solution collects and analyzes customer data, including personal information, transaction history, and other relevant data points, to ensure compliance with regulatory requirements and mitigate financial risks. Graph databases models and analyzes complex relationships and connections between customers, accounts, transactions, and other entities. TigerGraph enables comprehensive link analysis, anomaly detection, and network visualization, allowing financial institutions to identify suspicious patterns and behaviors more effectively. Coupled with real-time processing and scalability, TigerGraph's KYC solution can analyze large volumes of data efficiently and adapt to evolving regulatory requirements and fraud threats, ultimately enhancing the accuracy and effectiveness of customer due diligence processes.",Q1 - Currently available,"Cosine Similarity
Jaccard Similarity
Attribute-based Similarity (Exact Matching)
MinHash-based Similarity (Fuzzy Matching)
Weighted WCC (Full Graph)
Weighted WCC (Approximate)","Degree of connection to closest fraud customer
Path of connection to closest fraud customer
CC customer node count
Distinct count of each PII in CC
Count of nodes connected via each PII
Count of nodes only connected via each PII","More Fraud Customers Blocked
More Legit Customers Allowed
$ Value More Fraud Customers Blocked
$ Value More Legit Customers Allowed
% Increase Recall with Graph Features
% Increase Precision with Graph Features",XGBoost,https://dmccrearytg.github.io/copilot-metadata/questions/know-your-customer-er/
Mule Account Detection,"Mule account detection in financial crime is a critical endeavor aimed at identifying bank accounts that are used to receive and disperse money from illicit activities. These mule accounts, which may be involved either knowingly or unknowingly in these operations, present a significant challenge for financial institutions. The rapid movement of funds through an extensive and seemingly unconnected network of accounts, spread across numerous financial institutions, complicates the tracking and halting of such illicit transactions. Financial institutions are therefore tasked with detecting this activity promptly to prevent further fund transfer and ensure the return of assets to their rightful owners. TigerGraph's solutions address this challenge through a suite of sophisticated graph algorithms that enable real-time monitoring, feature engineering for machine learning, and anomaly detection to trace illegal funds effectively. Community Detection is employed to unveil clusters within the transaction network, highlighting groups of accounts that work in concert to move illicit funds. The Centrality (PageRank) algorithm identifies key accounts that act as central nodes in the distribution network, crucial for disrupting the flow of illicit money. Closeness (Shortest Path) analysis reveals the most direct routes for money laundering, aiding in the trace back to the source. Lastly, Deep Link Analysis uncovers hidden connections between accounts, providing a comprehensive understanding of the network's structure and operation. Together, these algorithms form the backbone of TigerGraph's approach to dismantling the complex networks of mule accounts, safeguarding the financial system against the movement of illicit funds.",Q2 - Currently available,"Weighted WCC
Shortest Path Length
PageRank","Weighted WCC
Community Size
Shortest Path Length
PageRank
Fraudster cnt via shared device
Fraudster cnt via shared IP 
Neighbor Average Receiving Amount ","More Mule Accounts Blocked
More Legit AccountsAllowed
$ Value More Mule Accounts Blocked
$ Value More Legit Accounts Allowed
% Increase Recall with Graph Features
% Increase Precision with Graph Features",XGBoost,https://dmccrearytg.github.io/copilot-metadata/questions/mule-account-detection/
Financial Customer 360,"Customer 360 allows financial institutions to gain a comprehensive view of each customer's interactions, preferences, and needs across all touchpoints. Tigergraph can connect data silos across an institution such as banking transactions, online interactions, customer service inquiries, and social media engagements. The Customer 360 platform provides valuable insights for targeted product offerings. Additionally, it fosters stronger customer relationships, improves retention rates, and ultimately drives profitability through increased customer satisfaction and loyalty.",Q2,In design,In design,In design,,https://dmccrearytg.github.io/copilot-metadata/questions/financial-c360/
Investment Product Recommendations,"Investment Product Recommendations empower leading financial companies to suggest highly relevant financial product offerings to their users. By modeling the complex relationships between assets, clients, and investment products as a graph financial companies can uncover hidden patterns and correlations that traditional databases miss. With TigerGraph's scalable and high-performance graph processing capabilities vast amounts of data can be analyzed in real-time, providing highly personalized investment recommendations that take into account each client's unique financial profile, risk tolerance, and investment goals. By leveraging TigerGraph's graph database financial companies can deliver unparalleled user experiences that drive client loyalty and growth while staying ahead of the competition.",Q2,Not started,Not started,Not started,,https://dmccrearytg.github.io/copilot-metadata/questions/investment-product-recommendations/
Merchant Product Recommendations,"Merchant Product Recommendations enhances the checkout experience by enabling financial payment providers with ability to suggest highly relevant products to customers at the point of sale. By analyzing the complex relationships between products, customers, and merchants, businesses can identify patterns and correlations that drive sales and revenue. With TigerGraph's graph database, businesses can analyze vast amounts of transactional data in real-time to uncover hidden patterns and correlations, provide personalized product recommendations that increase average order value and customer satisfaction, and optimize inventory and reduce waste by identifying slow-moving products optimizing product offerings.  Merchant Product Recommendations can help TigerGraph customers unlock new revenue streams, improve customer satisfaction, and establish a competitive edge in the e-commerce landscape.",Q3,Not started,Not started,Not started,,https://dmccrearytg.github.io/copilot-metadata/questions/merchant-product-recommendations/
Anti-Money Laundering,"Anti-Money Laundering empowers financial institutions to detect and prevent financial crimes by modeling complex relationships between transactions, accounts, and entities as a graph.  Anti-Money Laundering enables financial institutions to monitor and detect suspicious transactions in real time, automate identification of high-risk customers and their activities, and track transaction flows with enhanced due diligence and Know-Your-Customer (KYC) compliance.  Anti-Money Laundering helps TigerGraph customers stay ahead of the curve in the fight against financial crime reducing risk of reputational damage and maintaining trust with their customers.",Q4,"Weighted WCC
MaxFlow
Circle Detection (custom algorithm)",Not started,Not started,,https://dmccrearytg.github.io/copilot-metadata/questions/anti-money-laundering/
Agile Operations Solutions,,,,,,,
